,default_chances,D,Greenspace,S_urban_cluster,S_green,entropy,chi2_statistic,p_value,world
27,[0.  0.5 0.  0.  0.  0.  0.  0.  0. ],-1.8946089279303253,0.557,46,75,0.6866350322126447,129.96,4.1811908434771076e-30,"[[1. 0. 0. ... 1. 1. 1.]
 [0. 1. 0. ... 1. 0. 1.]
 [1. 0. 0. ... 1. 0. 1.]
 ...
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 1. ... 0. 1. 1.]
 [0. 0. 1. ... 1. 0. 0.]]"
28,[0.  0.5 0.  0.  0.1 0.  0.  0.  0. ],-1.9443821978528621,0.3583,6309,13,0.6524337997093121,803.1556,1.1116768413722031e-176,"[[1. 1. 0. ... 0. 0. 0.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [0. 1. 0. ... 0. 1. 1.]
 [0. 1. 0. ... 1. 0. 1.]
 [0. 1. 1. ... 0. 1. 1.]]"
29,[0.  0.5 0.  0.  1.  0.  0.  0.  0. ],-1.9660451241442678,0.2377,7604,7,0.5484142322480036,2752.0516,0.0,"[[0. 1. 1. ... 1. 1. 0.]
 [0. 1. 1. ... 1. 1. 1.]
 [1. 0. 0. ... 0. 1. 1.]
 ...
 [0. 1. 0. ... 1. 1. 1.]
 [0. 1. 0. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]]"
30,[0.  0.5 0.  0.1 0.  0.  0.  0.  0. ],-1.9260063181326377,0.4462,150,23,0.6873470781283628,115.7776,5.317016658540214e-27,"[[1. 1. 0. ... 0. 1. 1.]
 [1. 0. 1. ... 1. 1. 0.]
 [1. 1. 0. ... 1. 0. 1.]
 ...
 [1. 0. 1. ... 0. 0. 1.]
 [1. 0. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
31,[0.  0.5 0.  0.1 0.1 0.  0.  0.  0. ],-1.9447905673361483,0.3571,6351,10,0.6517313663155148,816.8164,1.1910229742695208e-179,"[[0. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [0. 1. 0. ... 1. 0. 1.]
 [0. 1. 1. ... 1. 1. 1.]]"
32,[0.  0.5 0.  0.1 1.  0.  0.  0.  0. ],-1.9686278428410737,0.222,7772,6,0.5294276643957023,3091.36,0.0,"[[1. 1. 1. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 0.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]]"
33,[0.  0.5 0.  1.  0.  0.  0.  0.  0. ],-1.9591878798880722,0.2784,7201,9,0.5914358222499438,1964.2624,0.0,"[[1. 0. 1. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 1. 0.]
 [1. 0. 1. ... 0. 1. 1.]
 ...
 [1. 0. 1. ... 0. 0. 1.]
 [1. 0. 1. ... 0. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]]"
34,[0.  0.5 0.  1.  0.1 0.  0.  0.  0. ],-1.9619794752505706,0.2621,7364,6,0.5752420105167492,2263.8564,0.0,"[[1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 0.]
 ...
 [1. 1. 1. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
35,[0.  0.5 0.  1.  1.  0.  0.  0.  0. ],-1.9841660423080516,0.119,8810,4,0.3649278148520909,5806.44,0.0,"[[1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]]"
36,[0.  0.5 0.1 0.  0.  0.  0.  0.  0. ],-1.9109170665440485,0.506,73,47,0.6930751788318458,1.44,0.23013934044341317,"[[1. 1. 0. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 1. 0.]
 [0. 0. 1. ... 0. 1. 0.]
 ...
 [1. 0. 0. ... 0. 0. 0.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 0. 1. ... 0. 0. 1.]]"
