,default_chances,D,Greenspace,S urban cluster,S_green,entropy,chi2_statistic,p_value,world
510,[0.5 0.1 0.1 0.1 0.5 0.1 0.  0.  0. ],-1.963311776033544,0.2544,7453,6,0.567117611887493,2412.7744,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
511,[0.5 0.1 0.1 0.1 0.5 0.5 0.  0.  0. ],-1.9710774631959957,0.2066,7934,5,0.5094169446600506,3443.3424,0.0,"[[0. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
512,[0.5 0.1 0.1 0.5 0.  0.  0.  0.  0. ],-1.9390303093598862,0.3852,4364,24,0.6665524919041255,527.1616,1.1707421040280981e-116,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
513,[0.5 0.1 0.1 0.5 0.  0.1 0.  0.  0. ],-1.960617857218498,0.2703,7296,8,0.583556998643886,2110.4836,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 0. 1.]
 [0. 1. 1. ... 1. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
514,[0.5 0.1 0.1 0.5 0.  0.5 0.  0.  0. ],-1.9669948019413035,0.2321,7679,7,0.5418013708749615,2870.8164,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [0. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 0. 1. 1.]]"
515,[0.5 0.1 0.1 0.5 0.1 0.  0.  0.  0. ],-1.9489392366754108,0.3354,6561,11,0.6379370723522698,1083.7264,1.1373200801290909e-237,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 ...
 [1. 0. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
516,[0.5 0.1 0.1 0.5 0.1 0.1 0.  0.  0. ],-1.96090867441425,0.2686,7314,8,0.5818613909956383,2141.8384,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [0. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
517,[0.5 0.1 0.1 0.5 0.1 0.5 0.  0.  0. ],-1.967983643699452,0.226,7739,6,0.5343977389881517,3003.04,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 ...
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
518,[0.5 0.1 0.1 0.5 0.5 0.  0.  0.  0. ],-1.9558169389298723,0.2978,7002,7,0.6089887067774664,1635.3936,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 ...
 [1. 0. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]]"
519,[0.5 0.1 0.1 0.5 0.5 0.1 0.  0.  0. ],-1.9630936852824683,0.2557,7443,6,0.5685110278767448,2387.2996,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
520,[0.5 0.1 0.1 0.5 0.5 0.5 0.  0.  0. ],-1.9703824573985809,0.211,7888,4,0.5152785856712923,3340.84,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
521,[0.5 0.1 0.5 0.  0.  0.  0.  0.  0. ],-1.9231710112925227,0.4548,203,48,0.6890555169375987,81.7216,1.5667181736781162e-19,"[[0. 1. 1. ... 0. 1. 1.]
 [1. 1. 0. ... 1. 1. 0.]
 [0. 1. 0. ... 0. 1. 1.]
 ...
 [1. 0. 1. ... 0. 0. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 [1. 0. 1. ... 1. 0. 1.]]"
522,[0.5 0.1 0.5 0.  0.  0.1 0.  0.  0. ],-1.9628893755470225,0.2565,7424,12,0.5693640990626546,2371.69,0.0,"[[1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 0.]
 [1. 1. 0. ... 0. 1. 0.]
 [0. 1. 1. ... 1. 1. 1.]]"
523,[0.5 0.1 0.5 0.  0.  0.5 0.  0.  0. ],-1.9679944397934677,0.2255,7737,11,0.5337815055813637,3014.01,0.0,"[[1. 1. 1. ... 1. 1. 0.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 0. 0.]
 ...
 [1. 1. 1. ... 0. 1. 0.]
 [1. 0. 1. ... 1. 1. 0.]
 [1. 0. 1. ... 1. 1. 1.]]"
524,[0.5 0.1 0.5 0.  0.1 0.  0.  0.  0. ],-1.9473876804481274,0.3436,6463,12,0.6433945090709663,978.4384,8.730348483459185e-215,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 1. 0.]
 [1. 1. 0. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 0. 0. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
525,[0.5 0.1 0.5 0.  0.1 0.1 0.  0.  0. ],-1.961420236146774,0.2656,7344,5,0.5788332188804393,2197.7344,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 0. 1.]
 ...
 [1. 1. 1. ... 1. 0. 1.]
 [1. 0. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
526,[0.5 0.1 0.5 0.  0.1 0.5 0.  0.  0. ],-1.969060807620359,0.2193,7807,5,0.5260205661420287,3151.6996,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
527,[0.5 0.1 0.5 0.  0.5 0.  0.  0.  0. ],-1.953028862703685,0.3131,6809,9,0.6215586114453698,1397.2644,8.258119460202776e-306,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 0. 0. ... 0. 0. 1.]
 [1. 1. 1. ... 0. 1. 1.]
 ...
 [1. 0. 1. ... 0. 0. 1.]
 [1. 1. 0. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
528,[0.5 0.1 0.5 0.  0.5 0.1 0.  0.  0. ],-1.9626395078349728,0.2584,7415,5,0.5713767057519741,2334.8224,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [0. 1. 1. ... 1. 1. 1.]
 [1. 1. 0. ... 1. 0. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
529,[0.5 0.1 0.5 0.  0.5 0.5 0.  0.  0. ],-1.9698904629782354,0.2141,7858,5,0.5193384412734048,3269.5524,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 0. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 ...
 [0. 1. 1. ... 1. 1. 1.]
 [1. 0. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 0.]]"
