,default_chances,D,Greenspace,S_urban_cluster,S_green,entropy,chi2_statistic,p_value,world
60,[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.9995948141039404,0.0024,9975,24,0.01687460539313894,9904.2304,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
61,[1.  0.  1.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.9995948141039404,0.0024,9975,24,0.01687460539313894,9904.2304,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
62,[1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.9995948141039404,0.0024,9975,24,0.01687460539313894,9904.2304,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
63,[1.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.9996198665961074,0.0022,9977,22,0.015660033644337906,9912.1936,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
64,[1.  0.1 0.  0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.99960734097778,0.0023,9976,23,0.01626949912873958,9908.2116,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
65,[1.  0.1 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.9996198665961074,0.0022,9977,22,0.015660033644337906,9912.1936,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
66,[1.  0.1 0.1 0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.999654842903555,0.0022,9977,22,0.015660033644337906,9912.1936,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
67,[1.  0.1 0.1 0.1 0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.9996198665961074,0.0022,9976,22,0.015660033644337906,9912.1936,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
68,[1.  0.1 0.1 1.  0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.9997023295751468,0.0021,9977,21,0.015046011116808068,9916.1764,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
69,[1.  0.1 1.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. ],-1.9997372778959506,0.0021,9977,21,0.015046011116808068,9916.1764,0.0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]"
